id,user_id,action_type,created_at,metadata
2,ef437f47-040e-410b-a1b9-84004b850c8f,profile_analysis,2024-12-26 07:49:00.844134+00,"{""metrics_analyzed"":[""generalMetrics"",""postTypeAnalysis"",""categoryAnalysis"",""timeAnalysis"",""contentLength"",""trends""],""recommendations_id"":3}"
3,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-27 18:14:42.981123+00,"{""post_id"":""b53deac4-66e9-46bf-8552-48122b7bae50"",""content_length"":34}"
4,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-27 18:15:52.751119+00,"{""post_id"":""2e3e5f00-8a80-4d33-ab61-d0dc35bf2863"",""content_length"":34}"
5,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-27 18:17:30.555144+00,"{""post_id"":""9ddad817-e5db-4f81-adcc-be5ee2eae990"",""content_length"":23}"
6,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-27 18:18:11.130134+00,"{""post_id"":""83b1a630-a810-422e-8989-d6efe4416f14"",""content_length"":17}"
7,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:09:41.688568+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
8,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:19:16.012889+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
9,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:21:05.095996+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
10,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:26:04.270149+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
11,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:26:34.229901+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
12,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:29:39.946727+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
13,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2024-12-29 16:30:44.534957+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":12}"
14,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-08 05:07:32.986206+00,"{""post_id"":""bcbf7406-720f-4e0d-8bd2-fe4012aeaa31"",""content_length"":564}"
15,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-11 06:35:50.163534+00,"{""post_id"":""811f7387-6428-4b07-a27b-22cf2a296f3f"",""content_length"":1586}"
16,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-11 19:09:11.166933+00,"{""post_id"":""7ff47ead-ee7c-48ac-8ab6-ab2cb1731bb3"",""content_length"":791}"
17,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-15 12:12:56.386222+00,"{""post_id"":""42924aea-486f-4452-90af-366fe1711b2a"",""content_length"":1398}"
18,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-17 05:16:43.79736+00,"{""post_id"":""655ff326-5430-44b9-8577-c8202fd5b3f3"",""content_length"":1412}"
19,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-20 18:24:26.262468+00,"{""post_id"":""4dc4acd4-a7ff-42a2-a19c-ce397c28934a"",""content_length"":1245}"
20,ef437f47-040e-410b-a1b9-84004b850c8f,post_optimization,2025-01-21 04:50:30.266171+00,"{""post_id"":""1ece1c8c-34f4-41af-9e4e-513197bdf08b"",""content_length"":689}"
