url,user_id,date,text,views,likes,comments,shares,post_type,created_at,updated_at,category
https://www.linkedin.com/feed/update/6411881963753349120,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-11 10:09:47.165+00,Si nos detuviéramos a leer las condiciones de uso de las aplicaciones descubriríamos tantas cosas...,0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6411957477750894592,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-11 15:09:51.105+00,¡Es hora de que tu web sea segura!,0,1,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6412025462754672640,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-11 19:39:59.993+00,Esta es la prueba de Ford para la entrega a domicilio con vehículos autónomos 🤯 #TransformaciónDigital,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6413049459214680064,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-14 15:28:59.774+00,Microsoft entra en la guerra por el super-mercado del futuro! #TransformaciónDigital,0,4,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6414464317273444352,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-18 13:11:08.222+00,Whatsapp Business incluirá un catálogo de productos. ¡Gran anuncio!  Las compras en la plataforma más usada por los usuarios son el paso más lógico.,0,10,3,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6414569852530368512,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-18 20:10:29.788+00,Interesante infografía sobre cómo consumimos los contenidos de Youtube en España.,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6415083600089223168,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-20 06:11:56.751+00,"Facebook está preparando su herramienta de Vídeos Interactivos. """"El vídeo está evolucionando de el consumo pasivo a formatos interactivos bidireccionales""""",0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6415444281573543936,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-21 06:05:09.918+00,El ecommerce está creciendo a un ritmo del 17% anual y alcanzó los 28.000 millones de € en España el año pasado. ¿Aún hay alguien que dude del futuro?,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6417995343065022465,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-28 07:02:10.374+00,No hay un mercado. Hay mercados. En esos mercados hay segmentos de clientes. Y en esos segmentos de clientes hay uno muy particular. Lectura más que recomendable de Seth Godin,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6417995745000976384,ef437f47-040e-410b-a1b9-84004b850c8f,2018-06-28 07:03:46.203+00,Este es el futuro de la formación:,0,3,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6419584317940383744,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-02 16:16:11.506+00,"Whatsapp se sube, años después, a los canales de Telegram.",0,1,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6419612612031508480,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-02 18:08:37.343+00,Cipri Quintas Lo quiero en Silk!!! 😋,0,1,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6420015351412649984,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-03 20:48:57.894+00,La nueva actualización del algoritmo de Facebook se centra en la autoridad y fiabilidad de los medios. ¡Dato a tener en cuenta!,0,3,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6420280238059642880,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-04 14:21:31.792+00,Google ha comprado al principal competidor de Alibaba en China.,0,5,1,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6420560459451158528,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-05 08:55:01.778+00,"¿El futuro del Marketing? Postie ofrecerá campañas de marketing avanzadas centradas en correo postal, permitiendo INCLUSO RETARGETTING!!!",0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6420676587540271104,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-05 16:36:28.872+00,"“Throwing is more important than catching. If you’re good at throwing, the catching takes care of itself. Emergency response is overrated compared to emergency avoidance.”",0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6422525672035532800,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-10 19:04:04.97+00,"""""La comunicación es exponer algo en común con otra persona""""",0,1,0,0,Texto,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6423109923592237056,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-12 09:45:41.396+00,Facebook está haciendo pruebas para incorporar anuncios con Realidad Aumentada 😱,0,6,1,0,Imagen,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6424556539767508993,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-16 09:34:01.569+00,Muy interesante artículo sobre cómo Instagram se convierte paso a paso en el e-commerce del futuro. ¡Lectura obligatoria!,0,8,1,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6425641688571666432,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-19 09:26:01.205+00,¡Rolls Royce trabaja en digitalizar el mantenimiento de sus motores con micro robots!,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6425762461747593216,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-19 17:25:55.774+00,"Amazon lanza un buscador de piezas que escanea, mide y encuentra un producto idéntico.",0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6425812353740259328,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-19 20:44:10.952+00,"En el corazón de la crisis de calidad del contenido que vivimos, se encuentra el hecho de que muchos marketeros y pequeños negocios aún no creen en el poder del Social Media o no lo entienden - GaryVee  #OneLearningADay",0,4,0,0,Texto,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6425987467924566016,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-20 08:20:01.427+00,"Uber se alía con Cargo para que los conductores ofrezcan a los viajeros productos en el trayecto como chicles, snacks, o cargadores. ¡Cross-selling en estado puro!",0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6426027781246767104,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-20 11:00:12.872+00,¡OJO! Multas de hasta 30.000€ a los influencers que no avisen de que un post es publicitario.,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6427116656048304128,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-23 11:07:00.855+00,Substance without swagger slows you down. But swagger without substance can be fatal.,0,0,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6427494526776078336,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-24 12:08:32.257+00,¡Me encanta! La tecnología y la educación deben ir siempre de la mano. Genial apuesta por la educación en programación a través del juego 😀,0,4,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6427581184317935616,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-24 17:52:53.025+00,"Google ha lanzado speakable, el marcado schema para los artículos de noticias de cara a los asistentes de voz! (Solo en U.S. por ahora) #SEO #VoiceIsComing",0,4,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6427909302513651712,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-25 15:36:42.499+00,"Un año más, ha tocado renovar y reafirmar conocimientos sobre #GoogleAnalytics 😃 ¡CONSEGUIDO!",0,18,6,0,Imagen,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6428268010787651584,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-26 15:22:05.216+00,Certificado Básico de Google Adwords ✔ ¡Seguimos para bingo!,0,5,0,0,Imagen,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6429996887880847360,ef437f47-040e-410b-a1b9-84004b850c8f,2018-07-31 09:52:01.636+00,"""""Tu trabajo no es hacer felices a todos tus posibles clientes"""". Una buena reflexión que tenemos que tener siempre presente.",0,1,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6430319817483436032,ef437f47-040e-410b-a1b9-84004b850c8f,2018-08-01 07:15:14.053+00,No todo son risas en la realidad aumentada!,0,7,0,0,Texto,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6430749545075929088,ef437f47-040e-410b-a1b9-84004b850c8f,2018-08-02 11:42:49.095+00,Whatsapp cobrará a las empresas que tengan tiempos de respuesta lentos :O ¿Qué os parece la idea?,0,3,1,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6438344000675078145,ef437f47-040e-410b-a1b9-84004b850c8f,2018-08-23 10:40:28.408+00,"LORENA LAZARO, Group Marketing Communications Manager de Dacsa, nos cuenta cómo Happÿdonia (HappyDacsa) ha mejorado sus necesidades de comunicación. No te lo pierdas. ¡Muchas gracias por seguir confiando en nosotros como  hashtag #sociotecnológico!",0,2,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6438646028689305600,ef437f47-040e-410b-a1b9-84004b850c8f,2018-08-24 06:40:37.498+00,This is a new way to train racehorses. (Via Cheddar),0,0,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6441681456220684288,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-01 15:42:19.817+00,hashtag #DigitalTransformation Framework The details for each point are in the article https://lnkd.in/gbBvbeq,0,0,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6442980861393543168,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-05 05:45:42.152+00,Expectante es poco,0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6443133467244007424,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-05 15:52:06.222+00,"Es la primera vez que veo esto y me he quedado a cuadros! 😮😮😮 Al buscar el nombre de un actor en Google, en el panel de información, un apartado de preguntas frecuentes, respondidas por el propio actor en formato Story. ¡Me parece brutal! ¿Os ha salido alguna vez?",0,5,2,0,Imagen,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6443376075845226496,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-06 07:56:08.62+00,Pues ya tenemos nueva curva del hype de Gartner...,0,0,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6445156425294446592,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-11 05:50:37.006+00,Información con la ayuda de la realidad aumentada. @a3noticias.  hashtag #tv  hashtag #noticias  hashtag #antena3noticias,0,2,0,0,Compartido,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6445217177363578881,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-11 09:52:01.428+00,"En pleno auge del vídeo, Instagram trabaja en el etiquetado de personas para este formato 🙌",0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6445295119603109888,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-11 15:01:44.306+00,Ha llegado la actualización de Palabras Clave de Coincidencia Exacta (aunque en España aún no) en Google Ads. ¡Ahora toca esperar a los datos para ver si es tan positivo como parece!,0,3,2,0,Imagen,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6447370363394367488,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-17 08:28:00.982+00,Ahora Twitter muestra en la parte superior del feed los vídeos en directo. ¿Alguna duda sobre cuál es el formato de contenido del presente?,0,2,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6447721427738075136,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-18 07:43:01.244+00,Twitter ofrecerá la opción de ver el feed en orden cronológico.  Dar al usuario la elección de ver contenido como más le interese siempre es un buen paso 😀,0,1,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
https://www.linkedin.com/feed/update/6447843228602368001,ef437f47-040e-410b-a1b9-84004b850c8f,2018-09-18 15:47:00.833+00,Instagram tendrá un canal de descubrimiento de Shopping!!,0,1,0,0,Artículo,2025-11-24 05:05:09.429+00,2025-11-24 05:05:09.429+00,
